N,model,split,n_samples,n_features,MAE,RMSE,MAPE,R2
10,ElasticNet,train,99,63,97.50108726924061,144.77248737664394,12.799573372549396,0.7663596437339517
10,ElasticNet,test,25,63,225.64961929755228,307.35641577541924,45.125832177411894,0.2758095064882705
10,RandomForest,train,99,63,54.34265848892964,89.502302285095,6.562113142063046,0.910701492318828
10,RandomForest,test,25,63,161.09569812121214,227.1091589566614,24.247248832455742,0.6045991929533716
10,XGBoost,train,99,63,2.31507919773911,3.003870782536499,0.34262755236693654,0.9998994138279444
10,XGBoost,test,25,63,155.26691162109375,228.61504565217876,22.709923434320217,0.599338261474235
30,ElasticNet,train,99,63,94.18462642388232,146.55557589180498,11.84638430909548,0.7605689444554107
30,ElasticNet,test,25,63,188.55702102513726,291.07229672596793,49.53377020815819,0.3505136936927056
30,RandomForest,train,99,63,50.39386761263424,84.22974005722313,6.163863434947718,0.9209127074626424
30,RandomForest,test,25,63,148.07035603174597,256.0118065536351,21.727708286983184,0.49755533189867396
30,XGBoost,train,99,63,1.8135388306897096,2.3188391039632252,0.269242068868624,0.9999400599613765
30,XGBoost,test,25,63,153.06997802734375,258.90888061357646,22.643526931806964,0.48611948872213284
50,ElasticNet,train,99,63,91.48605055994638,139.9201127548885,12.000744171876356,0.7817591319913921
50,ElasticNet,test,25,63,243.4487681482484,346.64065136961653,57.96977523021495,0.07885661501817254
50,RandomForest,train,99,63,48.80585864999193,81.0427400696944,5.844758352296902,0.9267843335784708
50,RandomForest,test,25,63,177.87403200000006,252.5115199402112,26.730814617390003,0.5112006209467637
50,XGBoost,train,99,63,2.2424057469223486,2.8261250112480716,0.31865993222820643,0.9999109654589073
50,XGBoost,test,25,63,164.70269165039062,238.23027193610645,25.14956090948617,0.5649269860229067
100,ElasticNet,train,99,63,85.13369973368755,128.8692265416936,11.033928714804215,0.8148710954666357
100,ElasticNet,test,25,63,210.91891779100305,299.93090373826857,50.17457115234033,0.3103786701567315
100,RandomForest,train,99,63,44.63864065255729,73.83547111882298,5.288469940437595,0.9392276699184722
100,RandomForest,test,25,63,156.919395873016,238.5659803851515,24.351423530847427,0.5636999329194552
100,XGBoost,train,99,63,1.8703311188052398,2.2909165336918185,0.2741039780005947,0.9999414948199072
100,XGBoost,test,25,63,145.04987670898439,226.19786244625223,23.183949587560836,0.6077659912794453
