model,N,random_state,train_batteries,test_batteries,n_features,MAE,RMSE,MAPE,R2
RandomForest,30,0,99,25,63,124.88845734487724,230.53476335129153,12.867009406525549,0.5916247654306912
RandomForest,30,1,99,25,63,130.78302927059053,179.0647578829824,17.169092445331632,0.6032034442589648
RandomForest,30,2,99,25,63,141.4973741847041,195.37359011718658,14.734886685099784,0.5238995839515423
RandomForest,30,3,99,25,63,140.46834985389603,219.0704306707576,20.858182865401364,0.6344722637582646
RandomForest,30,4,99,25,63,103.99719734668116,148.35605506688026,12.286945748999985,0.7155093548693949
RandomForest,30,5,99,25,63,120.60346988636358,194.21486974428097,20.283927881267665,0.6208062732752552
RandomForest,30,10,99,25,63,96.34118199675302,130.3663149591635,12.937354429470203,0.7625521466136584
RandomForest,30,21,99,25,63,81.89954442460314,109.96005462390856,15.76612854855474,0.8283684820282881
RandomForest,30,42,99,25,63,138.7173349224386,240.5804479002518,21.451390350073815,0.5563005282893971
RandomForest,30,100,99,25,63,85.90167518037516,109.20597818180133,10.50104275236161,0.7835685246542803
XGBoost,10,0,99,25,63,142.98022094726562,239.42441062388696,14.569550645173045,0.5595228304909028
XGBoost,10,1,99,25,63,156.3795947265625,213.41709133129675,20.82128668056362,0.4363544958272966
XGBoost,10,2,99,25,63,148.70118286132814,200.1962613017243,14.947926702636828,0.5001050236802638
XGBoost,10,3,99,25,63,142.00215576171874,238.1143953272204,21.103282103511813,0.5681587581336736
XGBoost,10,4,99,25,63,119.08441284179688,169.82598951326278,13.64754052629176,0.6272087204779527
XGBoost,10,5,99,25,63,139.1772326660156,223.4904758680318,21.98458425406756,0.4978722438450064
XGBoost,10,10,99,25,63,106.38721557617187,149.39536334301317,14.380248932693357,0.6881744433256982
XGBoost,10,21,99,25,63,121.1213427734375,157.5815205227464,21.377014892467347,0.6475173676180597
XGBoost,10,42,99,25,63,143.66453125,213.2592002255445,23.167670709331073,0.6513547073910682
XGBoost,10,100,99,25,63,99.8072998046875,123.55902334872033,12.283336902986177,0.7229382793476027
